,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25,Ward 26,Ward 27,Ward 28,Ward 29,Ward 30,Ward 31,Ward 32,Ward 33,Ward 34,Ward 35,Ward 36,Ward 37,Ward 38,Ward 39,Ward 40,Ward 41,Ward 42,Ward 43,Ward 44,Ward 45,Ward 46,Ward 47
total,2294785,48650,46555,53825,55085,42180,58500,38580,43490,40065,57820,51555,43210,45855,46605,53550,58195,55190,61925,64700,34395,25615,38825,40220,36785,40935,49315,50795,48885,50625,42205,52200,57100,41910,48905,53855,49875,43860,53045,52785,55795,57700,52275,59020,52505,52045,46510,41260
post_secondary,1356355,20630,21875,32465,33430,27820,35785,15245,16120,16665,36605,22445,17055,25255,33950,35650,26955,40300,38490,45180,28700,19750,31030,25335,25075,31065,38775,37185,35100,34780,29220,33710,34735,24500,31855,30755,31445,29690,28720,26845,27465,29670,26895,27845,23570,24795,21880,24055
no_post_secondary,938435,28020,24680,21365,21660,14365,22720,23335,27370,23405,21210,29110,26150,20605,12655,17900,31235,14890,23435,19525,5695,5870,7800,14885,11710,9865,10530,13615,13785,15845,12985,18490,22365,17410,17050,23100,18430,14165,24325,25940,28325,28025,25385,31175,28940,27245,24630,17210
