,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
total,2294790,95295,98790,110720,90620,95660,88040,87560,92465,93955,106895,91375,92240,91415,88800,82625,78080,94410,103860,89245,89655,92275,89925,82740,83080,85065
post_secondary,1356355,42350,58480,71165,62430,39750,48935,33045,59210,49625,83870,65460,66775,63935,55370,57680,45325,62925,72525,55900,46645,45570,45415,36865,41880,45220
no_post_secondary,938430,52940,40305,39555,28195,55905,39110,54510,33260,44330,23020,25915,25465,27475,33435,24950,32755,31485,31330,33345,43005,46700,44515,45875,41200,39840
