,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
total,1112905,37895,45045,59730,50315,44930,39840,36210,44215,45585,67935,51215,53350,58510,46150,39680,38065,42475,49960,45995,41500,40290,36760,29345,35935,31960
own,587080,20945,30175,33860,21375,21935,19600,17590,24285,23375,29345,21635,20925,17015,25510,21060,17175,24845,30330,25590,23145,23355,24780,23685,20015,25540
rent,525825,16945,14870,25870,28945,22995,20240,18625,19930,22210,38595,29575,32430,41495,20640,18625,20890,17625,19625,20400,18360,16935,11980,5660,15920,6425
