,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25,Ward 26,Ward 27,Ward 28,Ward 29,Ward 30,Ward 31,Ward 32,Ward 33,Ward 34,Ward 35,Ward 36,Ward 37,Ward 38,Ward 39,Ward 40,Ward 41,Ward 42,Ward 43,Ward 44,Ward 45,Ward 46,Ward 47
total,1112905,18305,19465,24530,25675,22105,32585,15510,18415,17675,26495,24900,19595,21305,22915,28090,27170,30055,34565,36040,22860,17165,24680,24265,21085,27250,29640,25185,24735,23180,19675,22800,28600,19570,25315,26450,25645,23515,25010,23855,24340,25145,21915,21925,19405,18415,19770,16100
own,587080,9925,11705,17615,15700,12650,17390,9440,6860,9180,12310,12735,8970,10605,13680,12915,14920,15900,11485,17960,9205,7055,10280,5385,6280,8375,12200,13500,14790,14935,12515,12330,12800,7115,14250,14775,15080,13665,15870,12195,14080,15300,13500,17315,15360,13725,9420,13835
rent,525825,8385,7765,6915,9975,9460,15195,6065,11555,8495,14185,12170,10630,10700,9230,15175,12245,14155,23080,18080,13650,10105,14390,18885,14805,18875,17440,11685,9945,8240,7160,10470,15800,12455,11065,11670,10575,9855,9145,11655,10260,9845,8420,4605,4045,4695,10350,2270
