,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25,Ward 26,Ward 27,Ward 28,Ward 29,Ward 30,Ward 31,Ward 32,Ward 33,Ward 34,Ward 35,Ward 36,Ward 37,Ward 38,Ward 39,Ward 40,Ward 41,Ward 42,Ward 43,Ward 44,Ward 45,Ward 46,Ward 47
total,2691665,60040,56295,63165,65335,49010,66690,47220,53970,47355,67995,61785,52335,55450,57480,62010,67515,65575,70240,71110,36325,27790,41195,45245,39785,42985,56285,59385,55230,57120,47780,61275,67305,54615,58025,64440,59370,53570,63570,64340,66840,68975,60610,68225,61655,63445,57080,48630
first_gen,1377465,39450,30490,28290,26895,21615,26790,28475,34080,28275,41430,32710,30050,29385,18625,23425,34145,22100,27185,25620,15560,10615,21640,23025,17145,21940,20000,25605,38190,39880,32135,43265,35255,29960,19535,29650,19150,14005,25125,36320,38335,42180,40850,49900,43605,39285,33560,22705
second_gen_plus,1314205,20585,25810,34870,38440,27400,39895,18740,19890,19085,26565,29070,22290,26065,38845,38585,33370,43470,43055,45490,20770,17165,19560,22215,22635,21045,36280,33775,17040,17245,15650,18005,32055,24650,38490,34795,40220,39560,38445,28020,28510,26795,19760,18325,18050,24160,23525,25920
