,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
total,2691665,116960,116055,127525,106445,115130,103760,107725,112925,107400,114315,100520,104940,99585,105395,101790,93165,109060,117405,108435,108295,110450,104230,97610,101115,101440
first_gen,1377465,71535,50030,51980,37785,63290,61805,66650,48015,48415,48410,41330,41190,47780,35760,43960,52815,75400,81870,37690,52170,64880,73060,68625,58165,54870
second_gen_plus,1314205,45425,66025,75545,68650,51840,41955,41070,64910,58985,65905,59190,63750,51805,69635,57830,40355,33655,35535,70745,56120,45570,31170,28980,42945,46575
