,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
total,2691665,116955,116055,127525,106445,115130,103760,107725,112925,107400,114315,100515,104945,99590,105400,101790,93170,109055,117405,108435,108290,110450,104225,97610,101115,101440
low_income,543365,26300,13525,19640,18535,27195,19470,27670,15685,17505,19740,20260,16945,31020,18485,18620,21800,24780,32565,20005,25585,24735,24285,20100,26310,12620
prop_low_income,20.2,22.5,11.7,15.4,17.4,23.6,18.8,25.7,13.9,16.3,17.3,20.2,16.1,31.2,17.5,18.3,23.4,22.7,27.7,18.4,23.6,22.4,23.3,20.6,26,12.4
