,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25,Ward 26,Ward 27,Ward 28,Ward 29,Ward 30,Ward 31,Ward 32,Ward 33,Ward 34,Ward 35,Ward 36,Ward 37,Ward 38,Ward 39,Ward 40,Ward 41,Ward 42,Ward 43,Ward 44,Ward 45,Ward 46,Ward 47
total,2691665,60040,56300,63165,65335,49010,66690,47225,53970,47355,67995,61785,52335,55450,57480,62010,67515,65575,70240,71110,36330,27790,41200,45245,39780,42985,56280,59380,55230,57125,47785,61275,67305,54610,58030,64435,59370,53570,63575,64340,66845,68980,60610,68220,61655,63445,57085,48625
low_income,543365,13875,11345,7575,7850,7210,11605,9480,16635,9035,13655,14775,12210,9925,5765,9310,11910,8925,14470,9620,6255,6100,9585,15910,10590,12450,7655,8675,16210,14685,10630,14150,13115,17440,8365,14105,10605,7975,12055,17280,14255,16045,14715,14285,13485,9260,17070,5240
prop_low_income,20.2,23.1,20.2,12,12,14.7,17.4,20.1,30.8,19.1,20.1,23.9,23.3,17.9,10,15,17.6,13.6,20.6,13.5,17.2,22,23.3,35.2,26.6,29,13.6,14.6,29.3,25.7,22.2,23.1,19.5,31.9,14.4,21.9,17.9,14.9,19,26.9,21.3,23.3,24.3,20.9,21.9,14.6,29.9,10.8
