,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25,Ward 26,Ward 27,Ward 28,Ward 29,Ward 30,Ward 31,Ward 32,Ward 33,Ward 34,Ward 35,Ward 36,Ward 37,Ward 38,Ward 39,Ward 40,Ward 41,Ward 42,Ward 43,Ward 44,Ward 45,Ward 46,Ward 47
total,2691665,60040,56300,63165,65330,49010,66690,47220,53970,47355,67995,61780,52335,55450,57475,62010,67515,65575,70240,71110,36325,27790,41195,45245,39780,42985,56285,59385,55230,57120,47780,61275,67310,54615,58025,64440,59370,53565,63570,64340,66845,68980,60610,68220,61655,63445,57080,48630
english,2557220,56105,54115,61410,63855,47650,64910,43865,50290,43905,64840,58695,49155,53240,56965,59985,61855,64440,66680,67180,35805,27330,40375,43605,37060,42285,55710,57920,51975,53560,44605,57495,65285,51765,56610,61940,55645,52735,62115,61980,64030,65585,52710,54710,51565,60905,54930,47860
non_english,134445,3940,2180,1755,1475,1370,1780,3355,3685,3450,3155,3085,3180,2210,515,2025,5665,1140,3550,3925,515,465,825,1640,2720,705,570,1460,3255,3560,3175,3780,2025,2845,1420,2500,3720,835,1455,2365,2815,3390,7895,13515,10095,2545,2155,775
