,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
total,2691665,116960,116055,127520,106445,115130,103760,107725,112925,107395,114315,100515,104945,99585,105395,101790,93165,109055,117405,108435,108290,110445,104225,97610,101115,101445
english,2557220,110765,113025,124255,103735,108780,98230,99945,110200,99215,110105,96800,102570,97010,100245,99020,89215,102100,110255,105605,104885,105545,88535,81020,97240,98910
non_english,134445,6185,3030,3265,2710,6345,5530,7780,2725,8180,4205,3720,2360,2585,5150,2775,3945,6955,7150,2825,3400,4900,15695,16590,3875,2530
